row_type,dataset,scene,variant,strict_required_metric_complete,lpips_skipped,image_key,train_mean_reflection_consistency,train_reflective_region_psnr,train_num_pairs,train_valid_pair_count,train_full_psnr,train_full_ssim,train_full_lpips,train_reflective_psnr,train_reflective_ssim,train_reflective_lpips,train_num_images,test_mean_reflection_consistency,test_reflective_region_psnr,test_num_pairs,test_valid_pair_count,test_full_psnr,test_full_ssim,test_full_lpips,test_reflective_psnr,test_reflective_ssim,test_reflective_lpips,test_num_images,complete_models,expected_models
model,shiny_blender_synthetic,helmet,wo_conf,True,False,pbr_rgb,0.09561121240258216,37.15206108093262,10,10,40.164558486938475,0.9934597831964492,0.006487754427362233,40.93510696411133,0.9941192424297333,0.0050817839382216335,100,0.03638473078608513,36.1205493927002,10,10,35.9322752571106,0.9853404074907303,0.014649221862200648,36.57219030380249,0.987289719581604,0.011237366267014295,200,,
model,shiny_blender_synthetic,helmet,rough_only,True,False,pbr_rgb,0.3079697206616402,36.85917778015137,10,10,40.15184597015381,0.9934530931711197,0.006524273464456201,40.91071655273438,0.9941140943765641,0.00513851098716259,100,0.15542802065610886,36.006968307495114,10,10,35.84266832351685,0.9853764662146568,0.014467403488233686,36.49383394241333,0.9873621127009392,0.01111526640597731,200,,
model,shiny_blender_synthetic,teapot,wo_ref,True,False,pbr_rgb,0.021928569953888654,39.366471481323245,10,10,49.5283540725708,0.9990234237909317,0.0015530376712558792,50.78903415679932,0.9993770635128021,0.0006547610781854019,100,0.004245767323300243,39.846435928344725,10,10,46.38084032058716,0.9975651583075523,0.00329317416093545,47.63656396865845,0.9985475844144821,0.0013358622857776936,200,,
model,shiny_blender_synthetic,teapot,wo_conf,True,False,pbr_rgb,0.016082213912159204,38.9260555267334,10,10,49.347146110534666,0.9990009480714798,0.001625773118576035,50.628013076782224,0.999374794960022,0.0006586430838797241,100,0.0038279443979263306,39.253265380859375,10,10,46.29697006225586,0.9975512826442718,0.0033843434703885577,47.63831825256348,0.998628890812397,0.0013113412530219649,200,,
model,shiny_blender_synthetic,teapot,rough_only,True,False,pbr_rgb,0.022073581302538513,38.82027359008789,10,10,49.03115406036377,0.9989748108386993,0.0016511587979039176,50.06737133026123,0.9993851572275162,0.0005814892670605331,100,0.003973538288846612,39.317513656616214,10,10,46.19289987564087,0.9975529009103775,0.0033447947711101734,47.279160861969,0.9986021715402603,0.0011491330778517295,200,,
model,shiny_blender_synthetic,toaster,wo_ref,True,False,pbr_rgb,0.3204560697078705,31.24959201812744,10,10,33.84375856399536,0.9780819725990295,0.024476906284689903,36.12780712127685,0.9911269927024842,0.012270472394302488,100,0.13610530868172646,22.405209159851076,10,10,27.315858478546144,0.9500480517745018,0.0571282803080976,28.57568362236023,0.9706491005420684,0.03769721708260477,200,,
model,shiny_blender_synthetic,toaster,wo_conf,True,False,pbr_rgb,0.1619801864027977,30.84795398712158,10,10,33.765475807189944,0.9779509127140045,0.024647328490391373,35.93707513809204,0.9910556900501252,0.012224571146070957,100,0.06718169748783112,21.731643295288087,10,10,26.95472375869751,0.9486081233620643,0.059023915138095615,28.13719407081604,0.969327735900879,0.03911704535596073,200,,
model,shiny_blender_synthetic,toaster,rough_only,True,False,pbr_rgb,0.2777551025152206,31.0521598815918,10,10,33.7249150466919,0.9779911643266678,0.02464565135538578,35.83319200515747,0.9909725689888,0.01219644102267921,100,0.1118257388472557,21.566389274597167,10,10,26.967208614349364,0.948246913254261,0.05924783544614911,28.116705493927,0.9689448875188827,0.03937029855325818,200,,
model,glossy_synthetic,angel,wo_ref,True,False,pbr_rgb,0.11755097731947899,25.99390811920166,10,10,32.895416617393494,0.97448186523148,0.03234948094801179,34.56403170313154,0.9846151785126754,0.015721585302214538,112,0.12369450256228447,22.452810096740723,10,10,29.867521286010742,0.952394612133503,0.039302910678088665,31.33213770389557,0.9716965109109879,0.021604703448247164,16,,
model,glossy_synthetic,angel,wo_conf,True,False,pbr_rgb,0.10436164811253548,26.048081970214845,10,10,32.88566199370793,0.9744018933602742,0.032245700946077704,34.51892679078238,0.9841542036405632,0.015712785351622318,112,0.11223842576146126,22.418060111999512,10,10,29.809433460235596,0.9516350738704205,0.0394022548571229,31.226865768432617,0.9701294265687466,0.022563951672054827,16,,
model,glossy_synthetic,angel,rough_only,True,False,pbr_rgb,0.11523713544011116,25.640682983398438,10,10,32.64003835405622,0.9738713891378471,0.03302513620084418,34.027350834437776,0.9840815556900842,0.0162402759222979,112,0.12213612571358681,22.239760971069337,10,10,29.726728439331055,0.9512455835938454,0.04001167370006442,30.950470328330994,0.9699157811701298,0.022514892800245434,16,,
model,glossy_synthetic,bell,wo_ref,True,False,pbr_rgb,0.14721198454499246,28.287261962890625,10,10,34.103809288569856,0.9761554598808289,0.03339401911944151,34.78946573393686,0.9787812456488609,0.026651897085165337,112,0.11179695427417755,25.678668403625487,10,10,31.574255228042603,0.962655782699585,0.042110690381377935,32.21199142932892,0.9672134891152382,0.03459790826309472,16,,
model,glossy_synthetic,bell,wo_conf,True,False,pbr_rgb,0.14324686378240586,28.281042098999023,10,10,34.23323018210275,0.9767290518752166,0.03286540904082358,34.86687840734209,0.9788906994674887,0.026565960558530475,112,0.11289171352982522,25.577692222595214,10,10,31.643195748329163,0.9627358689904213,0.04181357100605965,32.16130459308624,0.9663661271333694,0.03503802721388638,16,,
model,glossy_synthetic,bell,rough_only,True,False,pbr_rgb,0.150847277790308,28.27362060546875,10,10,34.232450008392334,0.976803178765944,0.03293726372066885,34.85300987107413,0.9793340042233467,0.027094997631918107,112,0.11192542389035225,25.62972640991211,10,10,31.678028106689453,0.9633947797119617,0.041668510530143976,32.194119930267334,0.9673179164528847,0.034835365950129926,16,,
model,glossy_synthetic,cat,wo_ref,True,False,pbr_rgb,0.12485129982233048,28.06360321044922,10,10,35.66708442143032,0.9846585802733898,0.03074415575247258,36.9030259677342,0.9897249191999435,0.018138879203304117,112,0.15894452929496766,26.87231731414795,10,10,32.86723029613495,0.9736723229289055,0.039870037348009646,34.25523626804352,0.9826172217726707,0.02367719344329089,16,,
model,glossy_synthetic,cat,wo_conf,True,False,pbr_rgb,0.11998061761260033,27.952320671081544,10,10,35.645037923540386,0.9847686061901706,0.03061306821681293,37.06301147597177,0.9900204672345093,0.01748148282890075,112,0.15441083610057832,27.06930446624756,10,10,32.92733561992645,0.9739789329469204,0.039033002336509526,34.46707510948181,0.9831671379506588,0.022384056937880814,16,,
model,glossy_synthetic,cat,rough_only,True,False,pbr_rgb,0.12373049259185791,28.029560089111328,10,10,35.88318872451782,0.9853117199880737,0.03016306647831308,36.88422308649336,0.9895009999828679,0.018784905733939792,112,0.15795457512140273,27.137519454956056,10,10,33.098987460136414,0.9745397232472897,0.03887748997658491,34.373886585235596,0.9822088107466698,0.0241583411116153,16,,
