dataset,split,scene,variant,metric,value,metric_direction
glossy_synthetic,train,horse,base,reflective_psnr,32.955077852521626,higher
glossy_synthetic,train,horse,base,reflective_ssim,0.980091870895454,higher
glossy_synthetic,train,horse,base,reflective_lpips,0.0174163100808592,lower
glossy_synthetic,train,horse,base,reflective_region_psnr,24.13563022613525,higher
glossy_synthetic,train,horse,base,full_psnr,30.47383063180106,higher
glossy_synthetic,train,horse,base,full_ssim,0.9692279866763523,higher
glossy_synthetic,train,horse,base,full_lpips,0.0293434990702995,lower
glossy_synthetic,train,horse,rc,mean_reflection_consistency,0.178480402380228,lower
glossy_synthetic,train,horse,rc,reflective_psnr,33.067918624196736,higher
glossy_synthetic,train,horse,rc,reflective_ssim,0.980128502207143,higher
glossy_synthetic,train,horse,rc,reflective_lpips,0.0175319924850815,lower
glossy_synthetic,train,horse,rc,reflective_region_psnr,24.25545234680176,higher
glossy_synthetic,train,horse,rc,full_psnr,30.506667528833663,higher
glossy_synthetic,train,horse,rc,full_ssim,0.969814194632428,higher
glossy_synthetic,train,horse,rc,full_lpips,0.0291160381498879,lower
glossy_synthetic,train,horse,wo_ref,mean_reflection_consistency,0.1957314908504486,lower
glossy_synthetic,train,horse,wo_ref,reflective_psnr,32.242526922907146,higher
glossy_synthetic,train,horse,wo_ref,reflective_ssim,0.9793699149574552,higher
glossy_synthetic,train,horse,wo_ref,reflective_lpips,0.0194963315817793,lower
glossy_synthetic,train,horse,wo_ref,reflective_region_psnr,23.41133346557617,higher
glossy_synthetic,train,horse,wo_ref,full_psnr,30.00146995271956,higher
glossy_synthetic,train,horse,wo_ref,full_ssim,0.96853007376194,higher
glossy_synthetic,train,horse,wo_ref,full_lpips,0.0315188622002356,lower
glossy_synthetic,train,horse,wo_conf,mean_reflection_consistency,0.1814376354217529,lower
glossy_synthetic,train,horse,wo_conf,reflective_psnr,32.720366512026104,higher
glossy_synthetic,train,horse,wo_conf,reflective_ssim,0.979630384594202,higher
glossy_synthetic,train,horse,wo_conf,reflective_lpips,0.0184268125615614,lower
glossy_synthetic,train,horse,wo_conf,reflective_region_psnr,24.006666946411134,higher
glossy_synthetic,train,horse,wo_conf,full_psnr,30.35312044620514,higher
glossy_synthetic,train,horse,wo_conf,full_ssim,0.968864472316844,higher
glossy_synthetic,train,horse,wo_conf,full_lpips,0.0303609776310622,lower
glossy_synthetic,train,horse,rough_only,mean_reflection_consistency,0.1980418115854263,lower
glossy_synthetic,train,horse,rough_only,reflective_psnr,32.58050959450858,higher
glossy_synthetic,train,horse,rough_only,reflective_ssim,0.9808108982230936,higher
glossy_synthetic,train,horse,rough_only,reflective_lpips,0.0172223605830887,lower
glossy_synthetic,train,horse,rough_only,reflective_region_psnr,23.90645294189453,higher
glossy_synthetic,train,horse,rough_only,full_psnr,30.46162848813193,higher
glossy_synthetic,train,horse,rough_only,full_ssim,0.9691522062889169,higher
glossy_synthetic,train,horse,rough_only,full_lpips,0.0298955312963309,lower
glossy_synthetic,train,luyu,base,mean_reflection_consistency,0.1188806600868701,lower
glossy_synthetic,train,luyu,base,reflective_psnr,33.95423786980765,higher
glossy_synthetic,train,luyu,base,reflective_ssim,0.9796441426234586,higher
glossy_synthetic,train,luyu,base,reflective_lpips,0.0195913613008867,lower
glossy_synthetic,train,luyu,base,reflective_region_psnr,25.514339637756347,higher
glossy_synthetic,train,luyu,base,full_psnr,32.07533998148782,higher
glossy_synthetic,train,luyu,base,full_ssim,0.966454624065331,higher
glossy_synthetic,train,luyu,base,full_lpips,0.0314378451855321,lower
glossy_synthetic,train,luyu,rc,mean_reflection_consistency,0.1100398741662502,lower
glossy_synthetic,train,luyu,rc,reflective_psnr,33.3053354876382,higher
glossy_synthetic,train,luyu,rc,reflective_ssim,0.9789685202496392,higher
glossy_synthetic,train,luyu,rc,reflective_lpips,0.0212975137983448,lower
glossy_synthetic,train,luyu,rc,reflective_region_psnr,24.71407489776612,higher
glossy_synthetic,train,luyu,rc,full_psnr,31.61531347887857,higher
glossy_synthetic,train,luyu,rc,full_ssim,0.9660793345953737,higher
glossy_synthetic,train,luyu,rc,full_lpips,0.0326743896751265,lower
glossy_synthetic,train,luyu,wo_ref,mean_reflection_consistency,0.1222952775657177,lower
glossy_synthetic,train,luyu,wo_ref,reflective_psnr,34.097303066934856,higher
glossy_synthetic,train,luyu,wo_ref,reflective_ssim,0.9801080647323812,higher
glossy_synthetic,train,luyu,wo_ref,reflective_lpips,0.0192210355307906,lower
glossy_synthetic,train,luyu,wo_ref,reflective_region_psnr,25.654272842407227,higher
glossy_synthetic,train,luyu,wo_ref,full_psnr,32.102201563971384,higher
glossy_synthetic,train,luyu,wo_ref,full_ssim,0.9665356650948524,higher
glossy_synthetic,train,luyu,wo_ref,full_lpips,0.031281597529804,lower
glossy_synthetic,train,luyu,wo_conf,mean_reflection_consistency,0.1096168525516986,lower
glossy_synthetic,train,luyu,wo_conf,reflective_psnr,33.61810239723751,higher
glossy_synthetic,train,luyu,wo_conf,reflective_ssim,0.9785392044910364,higher
glossy_synthetic,train,luyu,wo_conf,reflective_lpips,0.0209630046738311,lower
glossy_synthetic,train,luyu,wo_conf,reflective_region_psnr,25.221497535705566,higher
glossy_synthetic,train,luyu,wo_conf,full_psnr,31.85184618404933,higher
glossy_synthetic,train,luyu,wo_conf,full_ssim,0.9658277976725784,higher
glossy_synthetic,train,luyu,wo_conf,full_lpips,0.032344808219932,lower
glossy_synthetic,train,luyu,rough_only,mean_reflection_consistency,0.1204022161662578,lower
glossy_synthetic,train,luyu,rough_only,reflective_psnr,33.7397027185985,higher
glossy_synthetic,train,luyu,rough_only,reflective_ssim,0.9791939721575804,higher
glossy_synthetic,train,luyu,rough_only,reflective_lpips,0.0206093213969974,lower
glossy_synthetic,train,luyu,rough_only,reflective_region_psnr,25.31834316253662,higher
glossy_synthetic,train,luyu,rough_only,full_psnr,31.86562861715044,higher
glossy_synthetic,train,luyu,rough_only,full_ssim,0.9654750595135349,higher
glossy_synthetic,train,luyu,rough_only,full_lpips,0.0326713914816666,lower
glossy_synthetic,train,potion,base,mean_reflection_consistency,0.0924010790884494,lower
glossy_synthetic,train,potion,base,reflective_psnr,36.19237075533186,higher
glossy_synthetic,train,potion,base,reflective_ssim,0.9797775681529728,higher
glossy_synthetic,train,potion,base,reflective_lpips,0.0328107241408101,lower
glossy_synthetic,train,potion,base,reflective_region_psnr,29.079368019104,higher
glossy_synthetic,train,potion,base,full_psnr,34.99247983523777,higher
glossy_synthetic,train,potion,base,full_ssim,0.9744603293282644,higher
glossy_synthetic,train,potion,base,full_lpips,0.0493946124333888,lower
glossy_synthetic,train,potion,rc,mean_reflection_consistency,0.0871635764837265,lower
glossy_synthetic,train,potion,rc,reflective_psnr,36.31153321266174,higher
glossy_synthetic,train,potion,rc,reflective_ssim,0.9798827692866324,higher
glossy_synthetic,train,potion,rc,reflective_lpips,0.0320936947495543,lower
glossy_synthetic,train,potion,rc,reflective_region_psnr,29.33946208953857,higher
glossy_synthetic,train,potion,rc,full_psnr,35.19222099440439,higher
glossy_synthetic,train,potion,rc,full_ssim,0.9750580276761736,higher
glossy_synthetic,train,potion,rc,full_lpips,0.048408713856978,lower
glossy_synthetic,train,potion,wo_ref,mean_reflection_consistency,0.0920600324869155,lower
glossy_synthetic,train,potion,wo_ref,reflective_psnr,36.04801133700779,higher
glossy_synthetic,train,potion,wo_ref,reflective_ssim,0.979314211755991,higher
glossy_synthetic,train,potion,wo_ref,reflective_lpips,0.0327925332322982,lower
glossy_synthetic,train,potion,wo_ref,reflective_region_psnr,29.271531105041504,higher
glossy_synthetic,train,potion,wo_ref,full_psnr,34.98601012570517,higher
glossy_synthetic,train,potion,wo_ref,full_ssim,0.9742263864193644,higher
glossy_synthetic,train,potion,wo_ref,full_lpips,0.0499258520347731,lower
glossy_synthetic,train,potion,wo_conf,mean_reflection_consistency,0.0823602281510829,lower
glossy_synthetic,train,potion,wo_conf,reflective_psnr,36.03151154518128,higher
glossy_synthetic,train,potion,wo_conf,reflective_ssim,0.9786900973745756,higher
glossy_synthetic,train,potion,wo_conf,reflective_lpips,0.0349031836127064,lower
glossy_synthetic,train,potion,wo_conf,reflective_region_psnr,29.058702087402345,higher
glossy_synthetic,train,potion,wo_conf,full_psnr,34.90818759373256,higher
glossy_synthetic,train,potion,wo_conf,full_ssim,0.9732388550681728,higher
glossy_synthetic,train,potion,wo_conf,full_lpips,0.0520599087633724,lower
glossy_synthetic,train,potion,rough_only,mean_reflection_consistency,0.0931119829416275,lower
glossy_synthetic,train,potion,rough_only,reflective_psnr,36.101957593645366,higher
glossy_synthetic,train,potion,rough_only,reflective_ssim,0.9794507777052266,higher
glossy_synthetic,train,potion,rough_only,reflective_lpips,0.033674003190494,lower
glossy_synthetic,train,potion,rough_only,reflective_region_psnr,29.025543212890625,higher
glossy_synthetic,train,potion,rough_only,full_psnr,35.05583388464792,higher
glossy_synthetic,train,potion,rough_only,full_ssim,0.9739726835063526,higher
glossy_synthetic,train,potion,rough_only,full_lpips,0.0515643032600304,lower
glossy_synthetic,train,tbell,base,mean_reflection_consistency,0.2808011561632156,lower
glossy_synthetic,train,tbell,base,reflective_psnr,34.00247841221945,higher
glossy_synthetic,train,tbell,base,reflective_ssim,0.9790906640035766,higher
glossy_synthetic,train,tbell,base,reflective_lpips,0.0259363891922735,lower
glossy_synthetic,train,tbell,base,reflective_region_psnr,27.632582473754884,higher
glossy_synthetic,train,tbell,base,full_psnr,33.503919754709514,higher
glossy_synthetic,train,tbell,base,full_ssim,0.9773495623043604,higher
glossy_synthetic,train,tbell,base,full_lpips,0.0321990284802658,lower
glossy_synthetic,train,tbell,rc,mean_reflection_consistency,0.2262924328446388,lower
glossy_synthetic,train,tbell,rc,reflective_psnr,33.86807264600481,higher
glossy_synthetic,train,tbell,rc,reflective_ssim,0.9787795426590102,higher
glossy_synthetic,train,tbell,rc,reflective_lpips,0.0262398487123261,lower
glossy_synthetic,train,tbell,rc,reflective_region_psnr,27.312349319458008,higher
glossy_synthetic,train,tbell,rc,full_psnr,33.58587271826608,higher
glossy_synthetic,train,tbell,rc,full_ssim,0.977724187608276,higher
glossy_synthetic,train,tbell,rc,full_lpips,0.0312498442695609,lower
glossy_synthetic,train,tbell,wo_ref,mean_reflection_consistency,0.2685814380645752,lower
glossy_synthetic,train,tbell,wo_ref,reflective_psnr,33.75583803653717,higher
glossy_synthetic,train,tbell,wo_ref,reflective_ssim,0.9776400088199548,higher
glossy_synthetic,train,tbell,wo_ref,reflective_lpips,0.0281978097544716,lower
glossy_synthetic,train,tbell,wo_ref,reflective_region_psnr,27.079141235351564,higher
glossy_synthetic,train,tbell,wo_ref,full_psnr,33.35816713741848,higher
glossy_synthetic,train,tbell,wo_ref,full_ssim,0.976229769310781,higher
glossy_synthetic,train,tbell,wo_ref,full_lpips,0.0341686506123681,lower
