dataset,split,scene,metric,base_value,rc_value,metric_direction,improvement,winner,source_file
glossy_synthetic,test,angel,full_ssim,0.9514805562794209,0.9524393528699876,higher,0.0009587965905667462,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,angel,full_lpips,0.0395800936967134,0.0393520023208111,lower,0.00022809137590230205,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,bell,mean_reflection_consistency,0.109719630330801,0.1077431581914424,lower,0.001976472139358601,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,bell,reflective_region_psnr,25.546735572814946,25.735924339294435,higher,0.18918876647948935,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,bell,reflective_psnr,32.164868116378784,32.3101943731308,higher,0.14532625675201416,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,bell,reflective_ssim,0.9666688106954098,0.9678541906177998,higher,0.0011853799223899841,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,bell,reflective_lpips,0.0347917609615251,0.0321149375522509,lower,0.0026768234092741996,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,bell,full_psnr,31.637834668159485,31.77191960811615,higher,0.13408493995666504,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,bell,full_ssim,0.9630710706114768,0.964034728705883,higher,0.000963658094406239,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,bell,full_lpips,0.0417090912815183,0.0390872552525252,lower,0.002621836028993095,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,cat,mean_reflection_consistency,0.156605814397335,0.1497700244188308,lower,0.006835789978504203,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,cat,reflective_region_psnr,27.2645055770874,26.788152313232423,higher,-0.47635326385497834,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,cat,reflective_psnr,34.4962375164032,33.952213168144226,higher,-0.5440243482589722,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,cat,reflective_ssim,0.9824726916849612,0.9805249124765396,higher,-0.0019477792084215961,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,cat,reflective_lpips,0.0237028880510479,0.0251582667697221,lower,-0.0014553787186742002,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,cat,full_psnr,33.29552483558655,33.0527685880661,higher,-0.24275624752044678,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,cat,full_ssim,0.974674727767706,0.974432148039341,higher,-0.00024257972836505548,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,cat,full_lpips,0.0384301677113398,0.0385905808070674,lower,-0.0001604130957275976,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,horse,mean_reflection_consistency,0.2250296831130981,0.1946511507034301,lower,0.030378532409668008,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,horse,reflective_region_psnr,22.16110363006592,22.394418716430664,higher,0.23331508636474396,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,horse,reflective_psnr,30.423553824424744,30.55985558032989,higher,0.13630175590514781,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,horse,reflective_ssim,0.9688311144709588,0.9683698453009127,higher,-0.0004612691700460747,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,horse,reflective_lpips,0.0251725682755932,0.0254740713280625,lower,-0.0003015030524693013,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,horse,full_psnr,27.62704145908356,27.702359437942505,higher,0.0753179788589442,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,horse,full_ssim,0.9448911026120186,0.9454795122146606,higher,0.0005884096026420593,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,horse,full_lpips,0.0380590773420408,0.0376860084943473,lower,0.0003730688476935029,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,luyu,mean_reflection_consistency,0.1244205117225647,0.1195022352039814,lower,0.0049182765185833005,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,luyu,reflective_region_psnr,23.33660182952881,22.59705638885498,higher,-0.7395454406738295,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,luyu,reflective_psnr,31.369457006454468,30.713675141334534,higher,-0.6557818651199341,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,luyu,reflective_ssim,0.9687906429171562,0.9677977859973907,higher,-0.0009928569197654724,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,luyu,reflective_lpips,0.0247649874072521,0.0271824040682986,lower,-0.002417416661046501,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,luyu,full_psnr,29.47779715061188,29.056204080581665,higher,-0.42159307003021596,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,luyu,full_ssim,0.947934940457344,0.9479799754917622,higher,4.503503441810608e-05,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,luyu,full_lpips,0.037568500265479,0.0391065921867266,lower,-0.0015380919212476044,base,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,potion,mean_reflection_consistency,0.0858457002788782,0.08339374512434,lower,0.0024519551545381935,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,potion,reflective_region_psnr,27.773388862609863,28.10766887664795,higher,0.33428001403808594,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,potion,reflective_psnr,34.02612376213074,34.19976258277893,higher,0.17363882064819336,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,potion,reflective_ssim,0.9720447063446044,0.9723633788526058,higher,0.00031867250800143854,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,potion,reflective_lpips,0.0395058401627466,0.0392893520183861,lower,0.0002164881443605035,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,potion,full_psnr,32.73419630527496,32.87587833404541,higher,0.14168202877044678,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
glossy_synthetic,test,potion,full_ssim,0.9625495113432408,0.9635882936418056,higher,0.0010387822985647999,RC,paper_assets/data/main_full_metrics_by_dataset_wide.csv
