dataset,dataset_label,scene,split,metric,better_direction,rc_minus_base_delta,improvement,winner,quality_tradeoff_summary
shiny_blender_synthetic,Shiny-Syn.,helmet,test,full_ssim,higher,-1.2e-05,-1.2e-05,base,"train: worsened=full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, full_ssim, full_lpips"
shiny_blender_synthetic,Shiny-Syn.,helmet,test,full_lpips,lower,3.4e-05,-3.4e-05,base,"train: worsened=full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, full_ssim, full_lpips"
shiny_blender_synthetic,Shiny-Syn.,helmet,test,reflective_psnr,higher,0.092178,0.092178,RC,"train: worsened=full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, full_ssim, full_lpips"
shiny_blender_synthetic,Shiny-Syn.,helmet,test,reflective_ssim,higher,1.2e-05,1.2e-05,RC,"train: worsened=full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, full_ssim, full_lpips"
shiny_blender_synthetic,Shiny-Syn.,helmet,test,reflective_lpips,lower,-3e-05,3e-05,RC,"train: worsened=full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_ssim, reflective_lpips; test: worsened=reflective_region_psnr, full_ssim, full_lpips"
shiny_blender_synthetic,Shiny-Syn.,teapot,train,mean_reflection_consistency,lower,-0.009279,0.009279,RC,train: worsened=none; test: worsened=none
shiny_blender_synthetic,Shiny-Syn.,teapot,train,full_psnr,higher,0.689702,0.689702,RC,train: worsened=none; test: worsened=none
shiny_blender_synthetic,Shiny-Syn.,teapot,train,full_ssim,higher,0.000107,0.000107,RC,train: worsened=none; test: worsened=none
shiny_blender_synthetic,Shiny-Syn.,teapot,train,full_lpips,lower,-0.000248,0.000248,RC,train: worsened=none; test: worsened=none
shiny_blender_synthetic,Shiny-Syn.,teapot,train,reflective_psnr,higher,0.787239,0.787239,RC,train: worsened=none; test: worsened=none
shiny_blender_synthetic,Shiny-Syn.,teapot,train,reflective_ssim,higher,7.9e-05,7.9e-05,RC,train: worsened=none; test: worsened=none
shiny_blender_synthetic,Shiny-Syn.,teapot,train,reflective_lpips,lower,-0.000108,0.000108,RC,train: worsened=none; test: worsened=none
shiny_blender_synthetic,Shiny-Syn.,teapot,test,mean_reflection_consistency,lower,-0.001198,0.001198,RC,train: worsened=none; test: worsened=none
shiny_blender_synthetic,Shiny-Syn.,teapot,test,full_psnr,higher,0.25361,0.25361,RC,train: worsened=none; test: worsened=none
shiny_blender_synthetic,Shiny-Syn.,teapot,test,full_ssim,higher,0.00011,0.00011,RC,train: worsened=none; test: worsened=none
shiny_blender_synthetic,Shiny-Syn.,teapot,test,full_lpips,lower,-0.000237,0.000237,RC,train: worsened=none; test: worsened=none
shiny_blender_synthetic,Shiny-Syn.,teapot,test,reflective_psnr,higher,0.290175,0.290175,RC,train: worsened=none; test: worsened=none
shiny_blender_synthetic,Shiny-Syn.,teapot,test,reflective_ssim,higher,6.7e-05,6.7e-05,RC,train: worsened=none; test: worsened=none
shiny_blender_synthetic,Shiny-Syn.,teapot,test,reflective_lpips,lower,-3.7e-05,3.7e-05,RC,train: worsened=none; test: worsened=none
shiny_blender_synthetic,Shiny-Syn.,toaster,train,mean_reflection_consistency,lower,-0.116057,0.116057,RC,"train: worsened=full_ssim, full_lpips; test: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,toaster,train,full_psnr,higher,0.056533,0.056533,RC,"train: worsened=full_ssim, full_lpips; test: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,toaster,train,full_ssim,higher,-3.7e-05,-3.7e-05,base,"train: worsened=full_ssim, full_lpips; test: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,toaster,train,full_lpips,lower,0.000497,-0.000497,base,"train: worsened=full_ssim, full_lpips; test: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,toaster,train,reflective_psnr,higher,0.230913,0.230913,RC,"train: worsened=full_ssim, full_lpips; test: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,toaster,train,reflective_ssim,higher,0.000341,0.000341,RC,"train: worsened=full_ssim, full_lpips; test: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,toaster,train,reflective_lpips,lower,-0.000234,0.000234,RC,"train: worsened=full_ssim, full_lpips; test: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,toaster,test,mean_reflection_consistency,lower,-0.048244,0.048244,RC,"train: worsened=full_ssim, full_lpips; test: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,toaster,test,full_psnr,higher,-0.175853,-0.175853,base,"train: worsened=full_ssim, full_lpips; test: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,toaster,test,full_ssim,higher,-0.000822,-0.000822,base,"train: worsened=full_ssim, full_lpips; test: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,toaster,test,full_lpips,lower,0.001531,-0.001531,base,"train: worsened=full_ssim, full_lpips; test: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,toaster,test,reflective_psnr,higher,-0.154583,-0.154583,base,"train: worsened=full_ssim, full_lpips; test: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,toaster,test,reflective_ssim,higher,3.1e-05,3.1e-05,RC,"train: worsened=full_ssim, full_lpips; test: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_lpips"
shiny_blender_synthetic,Shiny-Syn.,toaster,test,reflective_lpips,lower,6.3e-05,-6.3e-05,base,"train: worsened=full_ssim, full_lpips; test: worsened=reflective_region_psnr, full_psnr, full_ssim, full_lpips, reflective_psnr, reflective_lpips"
glossy_synthetic,Glossy-Syn.,angel,train,mean_reflection_consistency,lower,-0.016347,0.016347,RC,"train: worsened=full_psnr, reflective_psnr, reflective_lpips; test: worsened=reflective_ssim"
glossy_synthetic,Glossy-Syn.,angel,train,full_psnr,higher,-0.058204,-0.058204,base,"train: worsened=full_psnr, reflective_psnr, reflective_lpips; test: worsened=reflective_ssim"
glossy_synthetic,Glossy-Syn.,angel,train,full_ssim,higher,0.000297,0.000297,RC,"train: worsened=full_psnr, reflective_psnr, reflective_lpips; test: worsened=reflective_ssim"
glossy_synthetic,Glossy-Syn.,angel,train,full_lpips,lower,-7.5e-05,7.5e-05,RC,"train: worsened=full_psnr, reflective_psnr, reflective_lpips; test: worsened=reflective_ssim"
glossy_synthetic,Glossy-Syn.,angel,train,reflective_psnr,higher,-0.142856,-0.142856,base,"train: worsened=full_psnr, reflective_psnr, reflective_lpips; test: worsened=reflective_ssim"
glossy_synthetic,Glossy-Syn.,angel,train,reflective_ssim,higher,0.000152,0.000152,RC,"train: worsened=full_psnr, reflective_psnr, reflective_lpips; test: worsened=reflective_ssim"
glossy_synthetic,Glossy-Syn.,angel,train,reflective_lpips,lower,0.000282,-0.000282,base,"train: worsened=full_psnr, reflective_psnr, reflective_lpips; test: worsened=reflective_ssim"
glossy_synthetic,Glossy-Syn.,angel,test,mean_reflection_consistency,lower,-0.014609,0.014609,RC,"train: worsened=full_psnr, reflective_psnr, reflective_lpips; test: worsened=reflective_ssim"
glossy_synthetic,Glossy-Syn.,angel,test,full_psnr,higher,0.145452,0.145452,RC,"train: worsened=full_psnr, reflective_psnr, reflective_lpips; test: worsened=reflective_ssim"
glossy_synthetic,Glossy-Syn.,angel,test,full_ssim,higher,0.000959,0.000959,RC,"train: worsened=full_psnr, reflective_psnr, reflective_lpips; test: worsened=reflective_ssim"
