dataset,split,variant,metric,mean_value,valid_n,total_scene_count,metric_direction,note
shiny_blender_synthetic,train,wo_conf,mean_reflection_consistency,0.10944761099138604,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,wo_conf,reflective_region_psnr,35.263858985900875,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,wo_conf,full_psnr,39.9104645729065,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,wo_conf,full_ssim,0.9885070237517356,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,wo_conf,full_lpips,0.018095650328517236,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,wo_conf,reflective_psnr,41.498613080978394,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,wo_conf,reflective_ssim,0.9929619072874387,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,wo_conf,reflective_lpips,0.009293798628689983,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,wo_conf,valid_pair_count,10.0,6,6,count,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,wo_conf,num_pairs,10.0,6,6,count,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,wo_conf,num_images,100.0,6,6,count,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,rough_only,mean_reflection_consistency,0.19319159153383225,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,rough_only,reflective_region_psnr,35.31342045466105,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,rough_only,full_psnr,39.9627473449707,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,rough_only,full_ssim,0.9885861658056577,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,rough_only,full_lpips,0.017989290977420715,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,rough_only,reflective_psnr,41.36411877632141,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,rough_only,reflective_ssim,0.9928954441348711,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,rough_only,reflective_lpips,0.009786465628033767,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,rough_only,valid_pair_count,10.0,6,6,count,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,rough_only,num_pairs,10.0,6,6,count,mean over 6/6 valid scene rows
shiny_blender_synthetic,train,rough_only,num_images,100.0,6,6,count,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,base,mean_reflection_consistency,0.07812160021470234,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,base,reflective_region_psnr,31.259748204549155,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,base,full_psnr,35.6561815516154,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,base,full_ssim,0.9769594379762809,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,base,full_lpips,0.029423649980308202,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,base,reflective_psnr,36.84502084732056,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,base,reflective_ssim,0.9843464319904646,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,base,reflective_lpips,0.017286063092227133,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,base,valid_pair_count,10.0,6,6,count,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,rc,mean_reflection_consistency,0.033585937484167445,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,rc,reflective_region_psnr,31.13203713099162,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,rc,full_psnr,35.73115963459015,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,rc,full_ssim,0.9770287356277306,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,rc,full_lpips,0.02950794291959022,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,rc,reflective_psnr,36.86138063589732,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,rc,reflective_ssim,0.9841835685571034,6,6,higher,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,rc,reflective_lpips,0.018261763436651816,6,6,lower,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,rc,valid_pair_count,10.0,6,6,count,mean over 6/6 valid scene rows
shiny_blender_synthetic,test,wo_ref,mean_reflection_consistency,0.07545600383697694,6,6,lower,mean over 6/6 valid scene rows
