dataset,split,scene,variant,metric,value,metric_direction,source_file,valid_flag,note
glossy_synthetic,train,bell,base,full_psnr,34.258189473833355,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,bell,base,full_ssim,0.976869246257203,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,bell,base,full_lpips,0.032542489834928,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,bell,base,reflective_psnr,34.90486281258719,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,bell,base,reflective_ssim,0.9790980273059436,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,bell,base,reflective_lpips,0.0260024357786668,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,bell,base,valid_pair_count,10.0,count,docs/superpowers/logs/rc-refgs-fd-p2-lite-main-table-2026-05-29.csv,True,pair-count metric from earlier main consistency table; included as base/rc variants for ablation comparison
glossy_synthetic,train,bell,rc,mean_reflection_consistency,0.1433430403470993,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,bell,rc,reflective_region_psnr,28.27375888824463,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,bell,rc,full_psnr,34.27323712621416,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,bell,rc,full_ssim,0.9775770684438092,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,bell,rc,full_lpips,0.0309785973846114,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,bell,rc,reflective_psnr,34.9207432610648,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,bell,rc,reflective_ssim,0.9798789471387864,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,bell,rc,reflective_lpips,0.0244719251890533,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-final-main-summary-2026-06-01.csv,True,absolute per-scene metric from final main summary; included as base/rc variants for ablation comparison
glossy_synthetic,train,bell,rc,valid_pair_count,10.0,count,docs/superpowers/logs/rc-refgs-fd-p2-lite-main-table-2026-05-29.csv,True,pair-count metric from earlier main consistency table; included as base/rc variants for ablation comparison
glossy_synthetic,train,bell,wo_ref,mean_reflection_consistency,0.1472119845449924,lower,docs/superpowers/logs/rc-refgs-fd-p2-lite-complete-metrics-ablation-table-2026-05-29.csv,True,absolute per-scene metric from complete ablation table
glossy_synthetic,train,bell,wo_ref,reflective_region_psnr,28.287261962890625,higher,docs/superpowers/logs/rc-refgs-fd-p2-lite-complete-metrics-ablation-table-2026-05-29.csv,True,absolute per-scene metric from complete ablation table
